text,label,scenario_type,channel,speaker_role_pattern,fraud_stage,has_code_request,has_money_transfer_request,has_urgency,has_threat,has_authority_impersonation,has_sensitive_data_request,has_remote_access_request,victim_confused_or_resisting,risk_markers_count
Подозрительная активность Для защиты счета срочно позвоните по 7777,fraud,generic_fraud,sms,single_message,pressure,0,0,0,0,0,0,0,0,0
Билет на поезд {train} забронирован Место 3 вагон чёрный Toyota,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш груз на сортировочном пункте Выдача 10 июня ПВЗ ул. Абая 10,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Обновление приложения Kaspi доступно Установите для безопасности,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Лотерея вы выиграли автомобиль стоимостью Оплатите оформление,fraud,generic_fraud,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Cdek Ваш груз на таможне Оплата растаможки 1000 тенге по ссылке срочно,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
"Звонящий - Добрый день
Ответчик - Слушаю
Звонящий - Банк Halyk безопасность
Звонящий - Выявлен несанкционированный доступ к вашему устройству
Звонящий - Установите AnyDesk и назовите код для подключения нашего специалиста",fraud,remote_access,call,dialogue,pressure,1,0,0,0,1,0,1,0,3
Розыгрыш от Halyk Bank Вы выиграли 1000 тенге Введите код 4321,fraud,generic_fraud,sms,single_message,unknown,0,0,1,1,0,0,0,0,2
Зачет по физика назначен на в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Теле2 Казахстан Ваш номер перейдет в пул через 3 ч Позвоните срочно,fraud,sim_block,sms,single_message,hook,1,0,1,1,1,0,0,0,4
Лотерея вы выиграли автомобиль стоимостью Оплатите оформление Времени мало,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Билет на автобус 552 забронирован 20 мая место 6,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша карта лояльности активирована Баллов на счету 3160,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
СРОЧНО Постановление суда об аресте счетов Обжалуйте оплатив пошлину 15000,fraud,government_or_police,call,dialogue,transfer_request,0,1,1,0,1,0,0,0,3
Напоминание о записи к стоматологу завтра в в на Ленина,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш депозит 50000 тенге размещен Ставка 12% на 9 месяцев,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Проблема по заявке решена Оцените качество работы специалиста С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Мам я не могу говорить Нужно 100000 срочно потом всё объясню,fraud,relative_in_trouble,sms,single_message,pressure,0,1,1,0,0,0,0,0,2
Ваша запись к косметологу подтверждена 1 июля в 15:30,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Алло
Ответчик - Да
Звонящий - Ваша карта будет заблокирована
Звонящий - Чтобы сохранить деньги переведите их себе на безопасный счет",fraud,safe_account,call,dialogue,transfer_request,0,1,0,1,0,0,0,0,2
Почта Казахстана Ваше письмо с ценным вложением удерживается Оплатите 50000,fraud,delivery_fee,sms,single_message,hook,0,0,1,0,0,0,0,0,1
Kaspi Bank Перевод 30000 тенге принят Отправитель Алибек,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша карта заблокирована за подозрительные операции Позвоните 7700,fraud,generic_fraud,sms,single_message,unknown,0,1,1,1,1,0,0,0,4
Уважаемый клиент Ваш груз арестован на таможне Внесите залог 2000 тенге,fraud,delivery_fee,sms,single_message,pressure,0,1,1,0,0,0,0,0,2
Автоплатеж за мобильная связь будет списан Хорошего дня,normal,benign_service,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
Сервисное сообщение Задолженность за связь 500 тенге Оплатите по ссылке,fraud,sim_block,sms,single_message,hook,1,1,1,0,0,1,0,0,4
С вашего счета хотят снять 1000 Если не вы позвоните срочно,fraud,generic_fraud,sms,single_message,pressure,0,0,0,0,0,0,0,0,0
Подписка на продлена до Следующее списание,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
АКЦИЯ Первые 100 участников получат 200000 тенге Назовите номер карты,fraud,generic_fraud,sms,single_message,hook,1,1,1,0,0,0,0,0,3
Отключение горячей воды с по в связи с плановым ремонтом,normal,benign_service,sms,single_message,benign,0,0,0,1,0,0,0,0,1
Билет на поезд А забронирован Место,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш платёж по кредиту 10000 тенге принят Остаток долга 500,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Мы получили ваш запрос Специалист перезвонит в течение часа,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Срок действия вашей SIM истекает сегодня Подтвердите продление кодом,fraud,sim_block,sms,single_message,unknown,0,0,1,0,0,0,0,0,1
"Здравствуйте, это курьер маркетплейса, привезу заказ до семи вечера",normal,delivery_fee,call,single_message,benign,0,0,0,0,0,0,0,0,0
Международная доставка задержана Требуется оплата НДС 20000 тенге по ссылке,fraud,delivery_fee,sms,single_message,hook,0,0,1,0,0,0,0,0,1
Оператор связи Ваша SIM-карта истекает сегодня Продлите услугу позвонив нам,fraud,sim_block,sms,single_message,data_request,1,1,1,0,1,0,0,0,4
Сортировочный центр принял ваше отправление CH123456,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Сортировочный центр принял ваше отправление KZ987654321,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Служба DPD Посылка удерживается на таможне Оплатите растаможку 5000 по ссылке,fraud,delivery_fee,sms,single_message,pressure,1,1,1,1,0,0,0,0,4
Это Ваша сим карта будет заблокирована из за истечения срока действия,fraud,sim_block,sms,single_message,unknown,0,0,0,1,0,0,0,0,1
Тариф изменен на Стандарт Стоимость с,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш паспорт недействителен Восстановите через портал оплатив пошлину,fraud,generic_fraud,sms,single_message,data_request,0,0,1,0,1,0,0,0,2
Платеж на сумму успешно проведен в,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Уголовное дело возбуждено Для прекращения оплатите залог 50000 тенге срочно,fraud,government_or_police,call,dialogue,hook,0,0,1,1,1,0,0,0,3
Напоминание прием у кардиолога 15 июня в 16:00 Не опаздывайте,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код Времени мало,fraud,sim_block,sms,single_message,data_request,1,0,1,1,0,0,0,0,3
Поздравляем вы стали тысячным покупателем Приз 10000 тенге по ссылке,fraud,generic_fraud,sms,single_message,data_request,0,0,0,1,0,0,0,0,1
не может найти ваш адрес Подтвердите доставку доплатив Времени мало,fraud,delivery_fee,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Поздравляем вы стали тысячным покупателем Приз 150000 тенге по ссылке,fraud,generic_fraud,sms,single_message,pressure,1,1,0,1,0,0,0,0,3
"Привет мам, это мой новый номер, старый отключился, сохрани пожалуйста",normal,benign_service,messenger,single_message,benign,0,0,0,0,0,0,0,0,0
Курьер DHL Ваша посылка запланирована на 25 мая Будьте дома,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Уведомление Ваш счет в Kaspi пополнен на 1000 тенге 15 июня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Запись в МФЦ подтверждена 5 июля Возьмите оригиналы документов,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Технический отдел оператора Перерегистрируйте SIM назвав паспортные данные,fraud,sim_block,sms,single_message,hook,0,0,1,0,0,0,0,0,1
"Мошенник - Здравствуйте
Ответчик - Слушаю
Мошенник - Это служба безопасности Kaspi Bank
Мошенник - По вашей карте проходит подозрительная операция на 2000 тенге
Мошенник - Чтобы её отменить назовите код из смс",fraud,bank_impersonation,call,dialogue,transfer_request,1,0,0,0,1,0,0,0,2
Здравствуйте Ваша сим карта будет аннулирована если не продлите до завтра,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Посылка пришла в пункт выдачи ул. Момышулы 12 Заберите до 20 мая,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Добрый день
Ответчик - Да
Звонящий - У вас подозрительный перевод за границу
Звонящий - Для блокировки операции продиктуйте последние цифры карты и код из смс",fraud,generic_fraud,call,dialogue,transfer_request,1,1,0,0,0,0,0,0,2
Ваш кешбэк 15000 тенге начислен Статус: Золотой клиент,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Папа это я Максим Попал в аварию нужны деньги на ремонт,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Напоминание оплата аренды 150000 тенге до 15 июня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Прокурор - Алло
Ответчик - Слушаю
Прокурор - Городская прокуратура
Прокурор - На вас поступила жалоба о мошенничестве
Прокурор - Явитесь добровольно или оплатите штраф 50000 тенге удаленно",fraud,government_or_police,call,dialogue,transfer_request,0,0,0,1,1,0,0,0,2
Megafon Услуга будет приостановлена Оплатите 3000 для продления тарифа,fraud,sim_block,sms,single_message,pressure,1,0,1,1,1,0,0,0,4
Доставка Glovo Заказ готовится Курьер прибудет через 17 мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш заказ с WB отправлен Трек CH123456 Ожидаемая дата 25 мая,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код Времени мало,fraud,generic_fraud,sms,single_message,data_request,0,0,1,1,0,1,0,0,3
Физиотерапия курс завершен Следующий осмотр через 7 месяцев,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте я Анна из Проверяем сим карту назовите ваш адрес,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,0,0,0,0
Ваш абонемент в кино 10 посещений активен до 30 июня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Посылка прибыла в пункт выдачи Заберите до Код получения,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Отключение горячей воды с по в связи с плановым ремонтом Хорошего дня,normal,benign_service,sms,single_message,benign,0,0,0,1,0,0,0,0,1
Ваша покупка телевизор оформлена Магазин свяжется в ближайшее время,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Мама у меня проблемы срочно нужны деньги Переведи на этот номер карты,fraud,relative_in_trouble,sms,single_message,transfer_request,0,1,1,0,0,1,0,0,3
Код авторизации для подтверждения платежа на сумму,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Бронирование отеля Marriott подтверждено с 15 июня по 20 мая,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Запись в стоматологию подтверждена 5 июля в 09:00 кабинет 165,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Домофон временно не работает Ремонт с до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш заказ #12345 принят Доставка ожидается 10 июня,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Результаты анализов критичные Нужно срочное обследование за 5000 тенге сегодня,fraud,medical_or_service_fraud,sms,single_message,hook,0,0,1,0,0,0,0,0,1
Ваш договор будет расторгнут Для сохранения оплатите 2000 сегодня,fraud,generic_fraud,sms,single_message,data_request,0,1,0,1,1,0,0,0,3
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа,fraud,generic_fraud,sms,single_message,data_request,1,0,0,0,0,0,0,0,1
Ваш рейтинг на HeadHunter обновлен Резюме просмотрено 17 раз,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Вакцинация от гриппа доступна в вашей поликлинике до 1 июля,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Оператор - Алло здравствуйте
Клиент - Да
Оператор - Это мобильный оператор
Оператор - Ваша SIM карта будет заблокирована сегодня
Оператор - Чтобы продлить обслуживание скажите код из сообщения",fraud,sim_block,call,dialogue,data_request,1,0,1,1,1,0,0,0,4
Услуга интернет подключена Абонентская плата,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Здравствуйте это банк
Ответчик - Да слушаю
Звонящий - С вашей карты проходит оплата на 15000 тенге в другом городе
Звонящий - Если это не вы назовите код из смс для отмены",fraud,bank_impersonation,call,dialogue,data_request,1,0,0,0,0,0,0,0,1
Зарплата за февраль поступила на карту Сумма,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Добрый вечер
Ответчик - Да
Звонящий - Вам звонят из службы мониторинга переводов
Звонящий - Переведите деньги на резервный счет и никому не говорите",fraud,safe_account,call,dialogue,transfer_request,0,1,0,0,0,0,0,0,1
Activ оператор Ваш номер получил статус неактивный Возобновите услугу,fraud,sim_block,sms,single_message,data_request,0,0,1,1,0,1,0,0,3
Трек номер KZ987654321 Статус В пути Расчетный срок 1 июля,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш ребенок записан на плановый осмотр 5 июля в 14:00,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код Это срочно,fraud,sim_block,sms,single_message,data_request,1,0,1,1,0,0,0,0,3
Билет на поезд {train} забронирован Место 3 вагон белый Chevrolet,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Проблема по заявке 615 решена Оцените качество работы специалиста,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Оператор - Здравствуйте
Клиент - Да
Оператор - Ваш интернет работает нестабильно
Оператор - Мы можем оформить выезд мастера
Оператор - Код из смс нам не нужен",normal,benign_service,call,dialogue,data_request,1,0,0,0,1,0,0,0,2
Встреча с клиентом перенесена на в Место ул Молодежная,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Срочное уведомление Ваш номер отключат Для продления оплатите 5000 тенге,fraud,sim_block,sms,single_message,data_request,1,0,1,1,1,0,0,0,4
Посылка CH123456 задержана из-за праздников Выдача с 25 мая,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Онлайн-запись к нотариусу подтверждена 1 июля в 12:00,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Бабушка это внук Помоги деньгами я верну завтра обязательно,fraud,relative_in_trouble,sms,single_message,hook,0,1,1,0,0,0,0,0,2
"Мошенник - Добрый день
Клиент - Да
Мошенник - Kaspi Bank антифрод отдел
Мошенник - Ваши средства 1000 тенге пытаются перевести мошенники
Мошенник - Назовите код из смс мы немедленно заблокируем транзакцию",fraud,bank_impersonation,call,dialogue,data_request,1,0,0,0,0,0,0,0,1
Акция завершена Ваш приз Переведите за оформление документов Не откладывайте,fraud,generic_fraud,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Срочное уведомление Ваш номер отключат Для продления оплатите 100000 тенге,fraud,sim_block,sms,single_message,pressure,0,1,1,0,0,0,0,0,2
Ваш заблокирован Разблокировка стоит,fraud,generic_fraud,sms,single_message,unknown,0,0,0,1,0,0,0,0,1
Таможенная служба Ваш груз задержан Оплатите административный сбор 2000,fraud,delivery_fee,sms,single_message,hook,1,1,0,1,0,0,0,0,3
Поздравляем вы стали тысячным покупателем Приз 500 тенге по ссылке,fraud,generic_fraud,sms,single_message,unknown,0,1,1,0,0,0,0,0,2
Запись в МФЦ подтверждена 15 июня Возьмите оригиналы документов,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваши данные в открытом доступе Срочно смените пароль по ссылке ниже,fraud,generic_fraud,sms,single_message,data_request,1,1,0,0,0,0,0,0,2
Командировка в Санкт с Билеты и гостиница забронированы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Физиотерапия курс завершен Следующий осмотр через 1 месяцев,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша история болезни обновлена Просмотрите в личном кабинете,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Алло
Ответчик - Да кто это
Звонящий - Мам это я Димаш
Звонящий - Я попал в аварию на меня оформляют документы
Звонящий - Нужно 200000 для урегулирования не говори папе",fraud,relative_in_trouble,sms,single_message,pressure,0,1,1,1,0,0,0,0,3
Доставка Glovo Заказ готовится Курьер прибудет через 35 мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш тариф будет изменен на дорогой Отмените изменения кодом Времени мало,fraud,generic_fraud,sms,single_message,pressure,0,0,1,0,0,0,0,0,1
Ваш заказ #12345 передан в службу доставки Трек KZ987654321,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Сотрудник - Здравствуйте
Ответчик - Да
Сотрудник - Это киберполиция
Сотрудник - Мошенники имеют доступ к вашему счету
Сотрудник - Переведите всё на защищенный государственный счет сейчас",fraud,safe_account,call,dialogue,pressure,0,1,1,1,1,0,0,0,4
Абонент Подписка на Музыка продлена до,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Здравствуйте Для продления сим карты нужны ваши данные паспорта,fraud,sim_block,sms,single_message,unknown,0,0,0,0,0,1,0,0,1
Ваш код подтверждения Никому его не сообщайте С уважением поддержки,normal,benign_service,sms,single_message,benign,1,0,0,0,1,0,0,0,2
Теле2 Казахстан Ваш номер перейдет в пул через 24 ч Позвоните срочно,fraud,sim_block,sms,single_message,data_request,1,0,0,1,0,0,0,0,2
"Звонящий - Здравствуйте
Ответчик - Да
Звонящий - Это Jusan Bank служба безопасности
Звонящий - На вас оформляют заявку на кредит 20000 тенге
Звонящий - Назовите код чтобы мы отменили заявку",fraud,bank_impersonation,call,dialogue,hook,1,0,1,0,1,0,0,0,3
Тариф изменен на Безлимит Стоимость с,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Оператор - Алло здравствуйте
Клиент - Да
Оператор - Это Kaspi служба безопасности
Оператор - С вашего счета хотят снять все средства
Оператор - Чтобы защитить деньги переведите их на наш страховой счет",fraud,safe_account,call,dialogue,transfer_request,0,1,0,1,0,0,0,0,2
Выписка по карте за март отправлена на email,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваш рецепт выписан Получите в аптеке до 10 июня,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Артем документы готовы Заберите в офисе с до С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Результаты экзамена опубликованы Проверьте в личном кабинете С уважением поддержки,normal,benign_service,sms,single_message,benign,0,0,0,0,1,0,0,0,1
Рейс SU889 задерживается на 27 минут Приносим извинения,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ готов к выдаче в пункте самовывоза Режим работы,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Заказ в пути Ожидаемое время доставки 15:30 Трек KZ987654321,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Мама я в аварии всё хорошо но нужно 20000 на возмещение ущерба,fraud,relative_in_trouble,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
Аренда самоката завершена Стоимость 50000 тенге Спасибо,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Здравствуйте
Ответчик - Да
Звонящий - Это Jusan Bank служба безопасности
Звонящий - На вас оформляют заявку на кредит 200000 тенге
Звонящий - Назовите код чтобы мы отменили заявку",fraud,bank_impersonation,call,dialogue,hook,1,1,0,0,1,0,0,0,3
Клиника сообщает Ваши результаты требуют немедленного лечения Оплатите 30000,fraud,medical_or_service_fraud,sms,single_message,hook,0,0,1,0,1,0,0,0,2
Выписан штраф за неуплату налогов 5000 тенге Оплатите по ссылке,fraud,generic_fraud,sms,single_message,data_request,0,0,1,1,1,0,0,0,3
Финансовая полиция Ваш счет участвует в отмывании средств Позвоните нам,fraud,government_or_police,call,dialogue,transfer_request,0,0,1,1,1,0,0,0,3
Сервисное сообщение Задолженность за связь 10000 тенге Оплатите по ссылке,fraud,sim_block,sms,single_message,hook,1,0,1,1,1,1,0,0,5
"Сотрудник - Добрый день
Клиент - Да
Сотрудник - Это школа
Сотрудник - Завтра родительское собрание переносится на 18:00",normal,benign_service,call,dialogue,benign,0,0,0,0,0,0,0,0,0
"Сотрудник - Добрый вечер
Клиент - Здравствуйте
Сотрудник - Служба безопасности ForteBank
Сотрудник - Выявлена подозрительная транзакция 50000 тенге
Сотрудник - Для отмены нужен код верификации из смс",fraud,bank_impersonation,call,dialogue,transfer_request,1,0,1,1,1,0,0,0,4
"Звонящий - Здравствуйте это банк
Ответчик - Да слушаю
Звонящий - С вашей карты проходит оплата на 150000 тенге в другом городе
Звонящий - Если это не вы назовите код из смс для отмены",fraud,bank_impersonation,call,dialogue,transfer_request,0,0,0,0,1,0,0,0,1
"Следователь - Алло добрый день
Ответчик - Здравствуйте
Следователь - Вас беспокоит следователь финансовой полиции
Следователь - По вашему счету возбуждено дело о мошенничестве
Следователь - Для приостановки ареста счета переведите 150000 на депозит",fraud,government_or_police,call,dialogue,pressure,0,0,0,1,1,1,0,0,3
"Звонящий - Здравствуйте
Ответчик - Да
Звонящий - Это сотрудник финансовой полиции
Звонящий - Ваши деньги нужно перевести на страховой счет
Звонящий - Иначе их спишут мошенники которые уже получили доступ",fraud,safe_account,call,dialogue,pressure,0,1,1,1,1,0,0,0,4
Напоминание занятие по английскому 15 июня в 10:00 перенесено,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Такси подано Водитель Алибек авто чёрный Toyota время подачи 11:30 мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша посылка из-за границы Таможенная пошлина Времени мало оплатите сейчас,fraud,delivery_fee,sms,single_message,transfer_request,0,1,0,0,0,0,0,0,1
