text,label
переспать хотите настоящие места собачек отправлялись прямо ваш мобильный присоединяйтесь крупнейшей великобритании сети собаководов txt dogs номер прямо сейчасnyt eca литра сообщение,fraud
ах бедный детка надеюсь чувствую любимый возможно это передозировка работы эй осторожно spk u sn lovejen xxx,normal
приходите медицинский колледж перешлите,normal
привет элейн сегодняшняя встреча подтверждена,normal
прохладный весело проведём время практикуясь изготовлении малышей,normal
ваше ежедневное сообщение одолжение,normal
тебе пойти спать беспокой ляо проснешься напишешь,normal
сих пор купил куртку,normal
очень скучаю тебе,normal
поздравляю мобильных gвидеофона r твой звони прямо номер видеочат твоими друзьями играй javaигры загружай музыку polyh арендуй noline bx ip we pm,fraud
офигенно кстати подарю тебе билеты субботу говори раньше x,normal
учил позвонил сэр ранджит смс пишу проверяет проект прабу сказал сегодня ошибись мной,normal
сказала возражаете зайду минутку спальню ок сказал сексуальном настроении минут вышла тортом жена,normal
пришлите номер йетти пожалуйста,normal
эй шеф можешь позвонить получишь это нужно поговорить вами королевском визите июня,normal
ребята вернетесь джи сказал подумываешь остаться mcr,normal
извините свободен,normal
ой друзья ре kicchu kaaj korte iccha korche na телефон та тул пожалуйста пожалуйста,normal
тебе обязательно это говорить думаю тому остановит твои пробежки,normal
кажется мешаю папе,normal
tddnewsletteremccouk игр thedailydraw дорогая хелен десятки бесплатных игр отличными призами,fraud
звучит держите курсе,normal
доброе утро дорогая шиджутта желаю удачи удачи удачный день,normal
ккв месяце котэ день рождения знаешь,normal
кей это инцидент,normal
телефон нокиа замечательный,normal
привет никаких новостей работе заставляют ждать пятую неделю хочу немного дураков ласк эксетере буду дома около трех,normal
рад видеть ваш ответ,normal
зашёл информацией знаю делать,normal
это возможно пытайтесь пожалуйста никому говорите,normal
зарядил камеру,normal
поздравляем получили ваучеров компактдиски гарантированных подарков бесплатный вход еженедельных розыгрышей txt music номер,fraud
напоминание o получить фунта бесплатный звонок подробную информацию выгодных предложениях пожалуйста ответьте это сообщение указав свое действительное имя номер дома почтовый индекс,fraud
сидел спасибо,normal
просто перечитайте это стыдно скажите это воспримет убежит буду винить просто очень давно,normal
слышали работе сегодня вечером снова собираюсь поговорить дикой природе хочешь приходи это ворзеля виззл это такое,normal
скучаете парашюту двойным монетам должно очень знаете,normal
ой кажется недостаточно пойду проверю скажу тебе,normal
улице около часов позвонил всей своей семье разбудить это началось час ночи,normal
ом вернусь тампу уэстпалма слышишь случилось,normal
сначала ответьте вопрос,normal
начали останавливайтесь просто молитесь хороших идей вижу помочь ребята перешлю ссылку,normal
итак номер дома пиво,normal
друзья которыми можете остаться чате facebook,normal
страшного пожалуюсь,normal
приветооо просыпайся сладкое утро приветствует наслаждайтесь день радостью гуд mrng,normal
просто увидел твой пропущенный звонок дорогой брат день gr,normal
готовишь ужин,normal
мог использовать половину восьмой,normal
думаю кино нужно идти площади,normal
знаю лей думаю маме лень выходить пока спрошу,normal
очень обидные значимые строки пожертвовал всем ради своей любви конце концов любовь скомпрометировала всем гуд утро,normal
изменить звук выхода windows,normal
свободен могу позвонить,normal
говорю сих пор верит,normal
встречу библиотеке,normal
пора идти занятия детка вернулась ко надеюсь тебе приятно спать любовь,normal
порядке надеюсь,normal
аааа работа это смутно помню это похоже ржу могу,normal
уважаемый клиент рад сообщить недавней проверки вашего мобильного номера получили бонусный приз размере фунтов стерлингов позвоните телефону,fraud
итак ребята делаете,normal
помните день,normal
срочный звоните телефону стационарного телефона фунтов стерлингов наличными отпуск ожидании получения условия положения sae почтовый ящик mxy,fraud
приходи ко домой последний буду делать поверьте,normal
стоит заняться чемнибудь другим,normal
дразните знаете просто обязан увидеть ухмыляется держи курсе добыча любящая улыбка пожирающий поцелуй,normal
это поразительно бестактно вообще пиздецво каждый вечер принимайте теплую ванну выпивайте чашку молока увидите чудо равно нужно похудеть просто знали,normal
выиграли гарантированную денежную сумму размере фунтов стерлингов приз размере фунтов стерлингов получить годовой приз позвоните нашему представителю службы поддержки клиентов телефону,fraud
ойой впустую den muz chiong on sat n sun liao,normal
извините бакалейной лавке,normal
господи удачи тебе экзаменах,normal
говорил тебе нравятся часы циферблатом очень нравятся часы которые подарил спасибо сделали сегодня тронут,normal
говер который человек уэльсе вернусь завтра эта неделя кем сообщение случайно,normal
действительно расстраивает просто слоняюсь,normal
телефоне самая странная автокоррекция,normal
частный выписке счету год указано неиспользованных бонусных баллов подать заявку позвоните телефону идентификатор срок действия истекает,fraud
ау заплатил тысяч сказал позвонишь,normal
войдёшь это время папа ведёт домой,normal
частный выписке вашему счету год fone no указано неиспользованных баллов sim позвоните телефону идентификатор срок действия истекает,fraud
срочный ваш мобильный номер xxx выиграл приз размере фунтов стерлингов это вторая попытка связаться вами звоните телефону скорее boxnqp стрмин,fraud
хм знаю выйдет сумка которая слишком мала чтонибудь кроме духов чтото могу оставить,normal
обожаю твою задницу тебе нравится пособачьи,normal
ой должно сначала взяли собой настоящую валентинку магазин,normal
четвертый раунд аукциона самая высокая ставка составляет фунта стерлингов следующая максимальная ставка составит сделать ставку отправьте bids e г ставка фунтов стерлингов удачи,fraud
эй забронировал урок пилатеса йоги хаха,normal
текущая ведущая ставка приостановить аукцион отправьте out служба поддержки клиентов,fraud
класс ltgt воссоединение,normal
дом воде причалом катер диктором который балуется джазовой флейте рулем,normal
взрыв разума цунами раджникант перестал плавать индийском океанеd,normal
уверен это поймут вино хорошая идея прихлебнул,normal
изза страха упасть обморок всей той работы дому которую сделал быстро выпейте чашку чая,normal
ltgt баксы комиссия банка фиксированная позвонить банк узнать,normal
солнечная викторина выиграйте суперdvdрекордер sony сможете назвать столицу австралии отправьте сообщение mquiz номер b,fraud
грусти кончено думай сосредоточьтесь других бумагах k,normal
сари просто нужен тим боллоксе очень больно поэтому сказал,normal
должен сказать своему другу приходил пока скажет ltgt иш,normal
боже джоанна бесит просмотрела моих друзей найти мои фотографии спрашивает вещах моем myspace который заходил год,normal
мир очень страдает изза насилия плохих людей изза молчания хороших людей доброй ночи,normal
спуститесь гандипурам дойдите пересеченной дороги правая сторона ltgt уличную дорогу сначала поверните направо,normal
доброе утро мальчик твои вкусные губки мои сексуальные булочки делаете думаешь обо жаждешь тебе нужен,normal
дорогая спал p,normal
переключаешь свой телефон чёрт,normal
извините могу помочь,normal
оченьоченьочень плохая девочка леди,normal
никаких сообщений еда,normal
победили наш компьютер выбрал уважаемого клиента vodafone выиграть приз размере фунтов стерлингов собрать легко просто позвоните номеру,fraud
доннода планируешь,normal
эй сексуальные булочки тебе говорил обожаю любовник надеюсь забудешь поблагодарить невестку те фрикадельки ухмыляется люблю детка,normal
дня старта евро будете ежедневно курсе последних новостей результатов удаления отправьте get txt stop номер,fraud
бог создал щель твоими пальцами эта особая сумма заполнит промежутки держа твои руки пожалуйста спрашивай создал столько промежутков ногами,normal
моей машине полтора часа схожу ума,normal
знаете делись мои лабораторные очки,normal
пожалуйста забудьте изучить,normal
твоя газета сегодня утром вечером,normal
мама говорит хотим пойти идем сможет смотреть выставку стекла,normal
это давайте благодарить бога пожалуйста завершите прием препарата имейте воды хорошего дня,normal
хо первый используешь такие слова,normal
еду домой пошел поменять аккумулятор часах сходить магазин,normal
могу это рассказывать довольно долго закончил свой фильм,normal
могу позвонить ltgt мин порядке,normal
чистота дружбы двумя заключается улыбке прочтения пересланного сообщения речь идет улыбке просто увидев имя гуд эвнг мусту,normal
это пришло некоторое время назад,normal
джуз проснулся поэтому немного размытое пятно папа ушел ляо могу кончить,normal
это значит самом деле назвали когото пунто это хуже,normal
сказал плохо девчонки знают делаешь,normal
хотите сходить кофе могу поверить такое время недели,normal
сся думаю роль похожа сачинпросто стою другие должны ударить,normal
угадай ктото твоих знакомых тайно любит хотите узнать это позвоните нам телефону стационарного телефона dateboxessexcmxn рмин,fraud
отличная работа ваш звездочный отпуск костадельсоль фунтов стерлингов ждут позвоните телефону подайте заявку sae tc pobox stockport skxh стоимость пм макс минут,fraud
осмелюсь спросить удалось разобраться машиной,normal
b четверг,normal
представьте отправили сообщение домашний телефон это отображать тексты хотите отправить это номер,normal
кей это логично кстати карлосом непросто ребята будете курить пока пойду второй порцией заправлюсь,normal
лол порядке помнил прошлой ночи,normal
арманд говорит тащи задницу эпсилон,normal
пришлите новый номер,normal
ltgt людей женятся своих любовниках понимание которое позволяет избежать проблем отправил это тебе пятницу получишь хорошие новости человека который тебе нравится завтра лучший день твоей жизни разрывайте цепочку сломаешь будешь страдать отправьте это адресу ltgt друзья ltgt минут читаешь,normal
это старый живу высоким,normal
люблю маленький колокольчик извини люблю,normal
ох ок думал имел виду мэри джейн,normal
лор напиши b позвонишь,normal
хаха именно думал,normal
знаю пойдем учиться пилатесу,normal
моей сестры сегодня обеда отец ушел знаю едят двое школе туалете,normal
слава богу постели,normal
костный мозг среду ltgt ага,normal
хочешь вернусь красивое ожерелье знак моего сердца тебе это подарю моей жене которая нравится будь это посмотри никто сможет дать тебе это звони подожду пока приду,normal
следующая остановка,normal
оба порядке спасибо,normal
пиво,normal
гарантирована новейшая версия телефона nokia mpплеер ipod емкостью гб приз размере фунтов стерлингов текстовое слово collect номер tcllc ньюйорксша рм msgrcvd,fraud
наталья приглашает стать другом ответить посмотреть wwwsmsacunat стоп отправьте stop frnd номер,fraud
привет детка вернулась маме настраиваете компьютер наполнение живота дела любимый скучаю тебе вздыхает,normal
достаточно места около мб,normal
хахаха используй свой мозг дорогая,normal
дорогой береги добрался дома очень люблю,normal
поэтому спросил энтони папа твой парень,normal
позвоню тебе получу немного денег,normal
отменить чейямои вернуть деньги,normal
хотел равно уютно устал прошлой ночи никто пошел школу работу закрыто,normal
позабочусь машина вернулась сегодня вечером,normal
выиграли билеты финал кубка евро фунтов стерлингов наличными получить звоните телефону b почтовый ящик ppm,fraud
иду работу насчет,normal
ферма открыта,normal
будешь смертью оставлю записку которой написано всем виноват роб отомсти,normal
можем посмотреть сможем присоединиться денису мине денису хочется побыть одному,normal
ушел вероятно буду ужина,normal
заставляет думать упаду самом деле думаю вполне склонен падениям счастью отец дома прошу прийти забрать,normal
настолько занят,normal
победитель ценный клиент сети выбраны получения призового вознаграждения размере фунтов стерлингов подать заявку позвоните телефону код претензии kl действует часов,fraud
what i told before i tell stupid hear after i wont tell anything to you you dad called моему брату говорил мной,normal
общем любое время следующей неделе сможешь уйти мамы вставать раньше,normal
чувак дела тереза надеюсь тобой порядке получил известия этих людей позвонил получили посылку декабря ltgt просто тебе хотелось знать желаю фантастического года наилучшего чтении тому действительно сможете оказать первую помощь усмле ваша работа окончена,normal
скажи женщины v это вбрасываешь решаем получить,normal
владение особенно первое нарушение,normal
очень слаб сегодня плохой день,normal
это ноутбук возьмите собой,normal
убедись знает курим,normal
поздравляю телефон видеокамерой nokia ваш звонок стоимость звонка стрмин средняя продолжительность звонка минуты зависит мобильных телефонов закрыть сообщение bcm ldn wcnxx,fraud
которое время прийти завтра,normal
отправил цены имеете виду ltgt г,normal
объявление службы поддержки клиентов ждет новогодняя доставка договориться доставке позвоните телефону,fraud
нетнет просто сияет это должно подписанием это звучит,normal
надеюсь чувствуешь прекрасно пожалуйста заполните абиола,normal
получил твою спину антипатии постели,normal
ой учтите осталось,normal
думаю ваш наставник прав уверен процентов,normal
ipадрес проверил учитывая компьютер является сервером minecraft,normal
автобусе люблю,normal
оправдали мои надежды предложив деньги нуждаюсь особенно приближается конец месяца это вредит моей учебе любом случае хороших выходных,normal
просто сплю занимаюсь серфингом,normal
лей лень понял день прислал urlадрес который работает,normal
знаю просто спрашиваю карта скидкой салон названием hair sense думаю это самый который подстриг,normal
хорошего вечера поговорим позже,normal
отличный побег нравится бридж нужен лагер увидимся томо,normal
извините позвоню позже,normal
передает привет просит вернуть твою задницу южную тампу желательно бочонке,normal
сука,normal
хм доброе утро когонибудь болит голова,normal
порядке разозлюсь сообщение тебе приду домой сегодня вечером,normal
,normal
ur получил награду city break мог выиграть летний шопинг сумму фунтов стерлингов каждую неделю отправьте сообщение store номер скилгме tscswinawkвозраст неделюksub,fraud
рады сообщить ваша заявка широкополосную связь airtel успешно обработана установка произойдет течение дней,normal
проводим дни ожидании идеального пути который появится нами забываем пути создаются ходьбой ожиданием спокойной ночи,normal
дайте знать смогу зайти забрать свободен практически любое время весь семестр,normal
это нормально хватит почек крайней мере большую часть ночи,normal
окей спасибо,normal
отлично напиши пополнятся запасы,normal
ваш баланс наличных настоящее время составляет фунтов максимизировать вашу прибыль отправьте cash номер пенсов сообщение cc hgsuitelands rowwjhl,fraud
работаешь,normal
это звонил ктото таким номером,normal
привет дорогая заканчиваю заберешь встретишь отправьте отправление номер люв кейт xxx,normal
нахожусь тирупурда выйдете офиса позвоните,normal
wewa iriver мб,normal
устроился работу wipro года получишь жизни,normal
ваши малыши поживают неделе хотите выпить кофе могу поверить такое время недели,normal
freemsg сегодня самый день готовы возбужден живу твоем городе люблю сексразвлечения игры netcollex ltd p ответ сообщение стоп конца,fraud
похудел фунта момента моего визита врачу прошлой неделе отпраздную это набив морду,normal
боже погуглю близлежащие скалы,normal
ард лор ок напиши тебе лор,normal
сказали паспорт чтото роде просто отправь адрес электронной почты,normal
каждый день ложусь спать ltgt,normal
позвони скажи сегодня придешь ок скажи обманывали ок,normal
доберусь дома минут,normal
это ltgt ок ох стоит отправлять домой продажу,normal
поздравляем получили подарочные сертификаты компактдиски сумму фунтов стерлингов бесплатный вход наш еженедельный розыгрыш фунтов стерлингов формате txt music tncs wwwldewcom winppmxage,fraud
купить скажи нам тебе придется приходить снова,normal
мро пойду спортзал мачан спокойной ночи,normal
новая цель,normal
давай скучающий подавленный сидишь ждешь звонка телефона надеюсь ветер утихнет страшно,normal
здравствуйте запросу ltgt переведено рупий,normal
здравствуйте каком сайте скачать песни пожалуйста срочно,normal
неудивительно помню серебристую машину кажется видел черную,normal
план сегодня,normal
любимый нужен,normal
решил,normal
помогите спросить работает tmr,normal
ага раньше хочешь пойти йогу могу позвонить забронировать,normal
ладно береги могу понять,normal
всё порядке лар рано ложишься ночью,normal
важное сообщение это последняя попытка контакта важные сообщения которые ждут нашего отдела обработки претензий клиентов срок действия истекает звоните телефону,fraud
хотелось придурок,normal
профиль работы похож bpo,normal
это круто тайлеру пришлось уйти купим привезем домой сегодня вечером наш общий заказ составляет четверть достаточно,normal
это ваши парни yahoo приносят перформанс законно,normal
красивый сон помочь прыщей,normal
послал тебе ltgt баксы,normal
приготовила очень вкусного лосося твоем стиле,normal
днем рождения пусть скоро найдешь своего принца очаровательным будешь слишком работать,normal
пытались найти гдето китайскую кухню,normal
добрый день мальчик проходит день прогулок тудасюда получили справку полиции пути просыпаюсь скучаю тебе детка,normal
собирался спросить лол думаю это,normal
можем забрать чтонибудь работаете сегодняшнего вечера,normal
поеду сша примерно пятнадцать минут,normal
эй проверь это перечислил,normal
отец позвонит выйдет работы задаст безумные вопросы,normal
думаю обязательно выходить поздно школьный вечер особенно одно занятие которое пропустили прошлую среду вероятно провалили тест пятницу,normal
услышите громкий крик примерно районе ltgt минут гинеколог пихать чужие вещи,normal
получите тон льва англии ответьте leionm mono leionp поли иди wwwringtonescouk оригинал лучший действуют тарифы оператора сети tones gbp,fraud
могу отвезти гдето полдень,normal
ард лор,normal
понятно выглядит восхитительно папочка хочет съесть ночь,normal
лор,normal
спасибо встретимся понедельник,normal
кредиты любые цели плохая кредитная история арендаторы приветствуются позвоните noworriesloanscom телефону,fraud
красота жизни следующей секунде которая скрывает тысячи тайн желаю каждая секунда твоей жизни прекрасной гуд н,normal
хочу слышать,normal
ага,normal
важное объявление обслуживанию клиентов позвоните бесплатному телефону прямо,fraud
дорогой собираемся наш резиновый ресторан,normal
имел виду деньги поступят ваш счет банк отменит фиксированную ставку ктото перенес ltgt аккаунт ltgt долларов сняли таким образом банки различаются комиссии также различаются убедитесь доверяете человеку которому отправляете данные счета,normal
пожалуйста запишите чему подвергается также узнайте школе когонибудь рвота доме собака кошка дайте знать позже,normal
могу сделать возможно несчастный случай произошел гдето улицей годбандар транспорт движется медленно пожалуйста пропустите amp волнуйтесь,normal
тел твоя проблема,normal
две основы крутой жизни гуляй король иди тебе плевать король gud nyt,normal
это наряд медового месяца,normal
выиграли гарантированную фунтов стерлингов наличными приз размере фунтов стерлингов получить годовой приз позвоните нашему представителю службы поддержки клиентов телефону стоимость пенсов,fraud
новым годом надеюсь хороший семестр,normal
твой милый сердится воспринимай это всерьез злиться это самый детский настоящий способ проявить глубокую привязанность заботу любовь kettoda manda хорошего дня,normal
какое время хочешь сегодня,normal
извините долго ому,normal
слышали неделе,normal
ох спросил ради развлечения хаха береги ю,normal
наша поездка также прошла происшествий такое время ночи вокруг надоедливых велосипедистов,normal
лол бу надеялся посмеяться,normal
сказал тебе снаружи даррен сказал пришел покупками нам приятно просто пошли посмотреть mpплеер,normal
слышал отвечает мои сообщения думаю сошел ума менее jb просто фантастический,normal
опаздываю позвони тебе завтра утром береги сладких снов обнимаем пока,normal
забыл сегодня работаешь хочешь поболтать порядке напиши будешь свободенскучно т д позвоню надеюсь порядке эссе носу такое хх,normal
думаю снега это нечто большее те шквалы которые обычно получаем которые тают прежде достигнут земли ик снега тех пор ltgt моего рождения,normal
сэр нужна дата рождения сэра велусами банковские реквизиты компании,normal
еду тебе домой,normal
позволю тебе это сделать хочу дома утра,normal
некоторые друзья хотят отвез куданибудь возможно это займет некоторое время,normal
какое расписание отдыха солнце,normal
трахни твою семью поехал родайленд куданибудь черт возьми оставил одного той неделе новый бонг gt,normal
арун можешь перевести черт возьми,normal
жизнь деньги эпполум полюс аллало,normal
пн ок лор хаха дешевая еда ла ex oso окей зависит ешь западную китайскую еду предпочитаешь,normal
работаю техподдержке голосовой процесссетевое поле,normal
действительно сегодня детка,normal
звучит великолепно пойду спать спокойной ночи,normal
карлос минуту нужно купить,normal
думаю это неправильное призвание нами,normal
ждет машине скучно ждать снаружи нечего делать дома могу заниматься своими делами смотреть телевизор,normal
частный выписка счета год,fraud
хо впервые используете такие слова,normal
это кажется излишне враждебным,normal
обратное это обман это математика,normal
придешь забери,normal
чувствую вчера вечером подожди двухдневной ночи дорогая,normal
увидимся точку,normal
иди купить джуз купи приедем лар,normal
декабре мобильный месяцев имеешь право бесплатно обновить мобильную версию последней версии цветной камерой позвони mobile update co бесплатно телефону,fraud
привет дорогая могу сделать завтра мои родители берут куданибудь пообедать свободен katexxx,normal
нуууу сильно люблю едва могу это вынести,normal
можете остановить дальнейшие клубные мелодии ответив stop mix см mytonecomenjoy html условий клубные мелодии стоят фунтов стерлингов неделю mfl ая mk wt,fraud
кей могу взять восьмую закончишь,normal
можете получить сообщения фотографиями свой телефон,normal
хотел свой день рождения,normal
любое время,normal
маха расстраивайся могу принять твое мышление поверь однажды вечером мной замечательные планы обоих позвольте жизни начаться снова позвоните любое время,normal
чтонибудь придумаю,normal
пришел ко,normal
спустишься позже,normal
нужен новый видеотелефон любое время любой сети минут аренда лески полцены видеокамера ответьте позвоните телефону заказать доставку завтра,fraud
хотите посмеяться попробуйте читчат своем мобильном телефоне прямо войдите систему отправив текстовое сообщение chat отправьте номер cm po box london wa zf pmsg rcvd,fraud
