text,label
подано Водитель Андрей авто белый время подачи мин,normal
Зарплата за февраль поступила на карту Сумма,normal
Это Ваша SIM карта истекает для продления сообщите номер карты,fraud
Лекция Квантовая физика состоится в аудитории,normal
ВНИМАНИЕ Ваш заблокирован Разблокировка стоит,fraud
Добрый день это Ваша SIM карта будет заблокирована через час Для продления назовите код,fraud
Зарплата за май поступила на карту Сумма,normal
Папа это я Андрей Попал в аварию нужны деньги на ремонт,fraud
Здравствуйте я Анна из Проверяем сим карту назовите ваш адрес,fraud
Заказ оформлен на сумму Доставка с до Спасибо за обращение,normal
Папа это я Данил Попал в аварию нужны деньги на ремонт,fraud
подано Водитель Михаил авто черный время подачи мин,normal
ВНИМАНИЕ Поздравляем Ваш номер выиграл в лотерее Получите приз по ссылке,fraud
Ваш заказ из готов к выдаче в пункте самовывоза,normal
Автоплатеж за цифровое ТВ будет списан,normal
Зачет по физика назначен на в Спасибо за обращение,normal
Звоню из ваш номер отключат завтра Для продления SIM карты назовите код подтверждения,fraud
У вас заказная посылка Доплатите для получения Не откладывайте,fraud
Информируем тарифный план изменен на Стандарт Подробности на сайте,normal
С вашей карты списали Если это не вы назовите код Это срочно,fraud
Артем документы готовы Заберите в офисе с до С уважением поддержки,normal
Автоплатеж за мобильная связь будет списан Хорошего дня,normal
Домофон временно не работает Ремонт с до Хорошего дня,normal
Встреча с клиентом перенесена на в Место пр Победы Спасибо за обращение,normal
Ваши счета будут заморожены Предотвратите блокировку,fraud
Встреча с клиентом перенесена на в Место ул Центральная Хорошего дня,normal
Уважаемый абонент Ваш баланс Пополните счет для продолжения пользования услугами,normal
Тариф изменен на Семейный Стоимость с,normal
Ваш тариф изменится отмените изменения кодом подтверждения,fraud
Тариф изменен на Безлимит Стоимость с,normal
Ваш заказ доставлен по адресу ул Центральная Спасибо за покупку,normal
Данил документы готовы Заберите в офисе с до С уважением поддержки,normal
Отключение горячей воды с по в связи с плановым ремонтом Спасибо за обращение,normal
Ваш код подтверждения Никому его не сообщайте С уважением поддержки,normal
Привет я из тех Срок вашей SIM карты истекает завтра нужно продлить,fraud
Ваш тариф будет изменен на дорогой Отмените изменения кодом Времени мало,fraud
Посылка из за границы Таможенная пошлина Не откладывайте,fraud
Уведомление Автоплатеж за Премиум будет списан,normal
Покупка в на сумму Доступный лимит Спасибо за обращение,normal
Это Срочно оплатите за продление сим карты,fraud
ВНИМАНИЕ Ваш интернет будет отключен за нарушения Оплатите штраф,fraud
ВНИМАНИЕ Ваш тариф будет изменен на дорогой Отмените изменения кодом,fraud
Услуга Интернет подключена Стоимость,normal
Это Ваша сим карта будет заблокирована из за истечения срока действия,fraud
Проблема по заявке решена Оцените качество работы специалиста Спасибо за обращение,normal
Папа это я Никита Попал в аварию нужны деньги на ремонт Не откладывайте,fraud
Абонент Подписка на Музыка продлена до,normal
"Мошенник - Здравствуйте
Ответчик - Здравствуйте
Мошенник - Я звоню из службы безопасности банка
Ответчик - Да слушаю
Мошенник - По вашей карте идет подозрительная операция
Мошенник - Чтобы отменить списание продиктуйте код из смс",fraud
"Мошенник - Добрый день
Ответчик - Добрый день
Мошенник - Вас беспокоит сотрудник банка
Мошенник - На ваше имя пытаются оформить кредит
Мошенник - Для отмены назовите код подтверждения",fraud
"Оператор - Алло здравствуйте
Клиент - Да
Оператор - Это мобильный оператор
Оператор - Ваша SIM карта будет заблокирована сегодня
Оператор - Чтобы продлить обслуживание скажите код из сообщения",fraud
"Звонящий - Здравствуйте
Ответчик - Да
Звонящий - Это сотрудник киберполиции
Звонящий - Ваши деньги нужно перевести на безопасный счет
Звонящий - Иначе их спишут мошенники",fraud
"Звонящий - Добрый вечер
Ответчик - Слушаю
Звонящий - Я из банка техподдержки
Звонящий - Не кладите трубку
Звонящий - Сейчас вам придет смс скажите код для блокировки операции",fraud
"Мошенник - Здравствуйте
Ответчик - Да
Мошенник - На ваш аккаунт оформлена заявка на перевод
Мошенник - Для отмены срочно подтвердите личность и назовите пароль из смс",fraud
"Оператор - Добрый день
Клиент - Да
Оператор - Это служба безопасности Kaspi
Оператор - С вашего счета хотят снять деньги
Оператор - Чтобы защитить счет переведите средства на резервный счет",fraud
"Звонящий - Алло
Ответчик - Да кто это
Звонящий - Я из банка
Звонящий - На вас оформлен кредит
Звонящий - Для отмены установите AnyDesk и включите демонстрацию экрана",fraud
"Мошенник - Здравствуйте
Ответчик - Да
Мошенник - Поступила заявка на смену финансового номера
Мошенник - Чтобы остановить замену скажите код из смс прямо сейчас",fraud
"Звонящий - Добрый день
Ответчик - Слушаю
Звонящий - Вас беспокоит Национальный банк
Звонящий - Ваши средства в опасности
Звонящий - Переведите деньги на страховой счет",fraud
"Мошенник - Здравствуйте
Ответчик - Да
Мошенник - Я помощник следователя
Мошенник - На ваши данные оформлены кредиты
Мошенник - Чтобы помочь следствию назовите код и реквизиты карты",fraud
"Звонящий - Алло здравствуйте
Ответчик - Здравствуйте
Звонящий - Это поддержка маркетплейса
Звонящий - Для возврата денег нужно продиктовать код подтверждения",fraud
"Мошенник - Добрый день
Ответчик - Да
Мошенник - Я из пенсионного фонда
Мошенник - На вас оформлена неверная выплата
Мошенник - Для отмены операции сообщите код из смс",fraud
"Звонящий - Здравствуйте
Ответчик - Да
Звонящий - Ваш родственник попал в ДТП
Звонящий - Нужны деньги срочно
Звонящий - Переведите на этот счет пока не поздно",fraud
"Мошенник - Алло
Ответчик - Да
Мошенник - Это оператор сотовой связи
Мошенник - Ваш номер отключат через десять минут
Мошенник - Назовите код чтобы продлить SIM карту",fraud
"Звонящий - Добрый день
Ответчик - Да
Звонящий - Вам одобрен возврат средств
Звонящий - Для получения денег зайдите в приложение банка
Звонящий - И сообщите код безопасности",fraud
"Мошенник - Здравствуйте
Ответчик - Здравствуйте
Мошенник - Сейчас идет взлом вашего личного кабинета
Мошенник - Мы создаем безопасную ячейку
Мошенник - Переведите туда деньги",fraud
"Оператор - Здравствуйте
Клиент - Да
Оператор - Это служба безопасности банка
Оператор - Не называйте никому код
Оператор - Лучше назовите его мне для проверки отмены операции",fraud
"Звонящий - Добрый день
Ответчик - Да
Звонящий - У вас подозрительный перевод за границу
Звонящий - Для блокировки операции продиктуйте последние цифры карты и код из смс",fraud
"Мошенник - Здравствуйте
Ответчик - Слушаю
Мошенник - Я из отдела безопасности госуслуг
Мошенник - На вас оформляют доверенность
Мошенник - Чтобы остановить действие скажите код подтверждения",fraud
"Мошенник - Добрый день
Ответчик - Да
Мошенник - На вашем устройстве замечена вирусная активность
Мошенник - Мы переведем вас на специалиста
Мошенник - Установите программу удаленного доступа",fraud
"Звонящий - Алло
Ответчик - Да
Звонящий - Ваша карта будет заблокирована
Звонящий - Чтобы сохранить деньги переведите их себе на безопасный счет",fraud
"Мошенник - Здравствуйте
Ответчик - Да
Мошенник - Из банка техподдержки вас беспокоят
Мошенник - Скажите код который пришел на телефон
Мошенник - Иначе операцию нельзя отменить",fraud
"Звонящий - Добрый вечер
Ответчик - Да
Звонящий - Вам звонят из службы мониторинга переводов
Звонящий - Переведите деньги на резервный счет и никому не говорите",fraud
"Оператор - Здравствуйте
Клиент - Слушаю
Оператор - Вас приветствует интернет провайдер
Оператор - Завтра с 10 до 14 возможны перебои связи
Оператор - Работы плановые",normal
"Оператор - Добрый день
Клиент - Да
Оператор - Это банк
Оператор - Подтверждаю что мы никогда не просим код из смс
Оператор - Если кто то просит код завершите разговор",normal
"Специалист - Здравствуйте
Клиент - Здравствуйте
Специалист - По вашей заявке доставку перенесли на завтра
Специалист - Дополнительных действий не требуется",normal
"Оператор - Добрый день
Клиент - Да
Оператор - Вы оставляли заявку на перевыпуск карты
Клиент - Да
Оператор - Готовую карту можно забрать в отделении с удостоверением личности",normal
"Специалист - Здравствуйте
Клиент - Да
Специалист - Это клиника
Специалист - Напоминаем о записи на прием завтра в 15:30",normal
"Оператор - Добрый вечер
Клиент - Слушаю
Оператор - Вас беспокоит курьерская служба
Оператор - Курьер будет у вас через час
Оператор - Оплата при получении как в заказе",normal
"Оператор - Здравствуйте
Клиент - Да
Оператор - Ваш интернет работает нестабильно
Оператор - Мы можем оформить выезд мастера
Оператор - Код из смс нам не нужен",normal
"Сотрудник - Добрый день
Клиент - Да
Сотрудник - Это школа
Сотрудник - Завтра родительское собрание переносится на 18:00",normal
"Оператор - Добрый день
Клиент - Да
Оператор - Вы подали обращение в поддержку
Оператор - Оно решено
Оператор - Оценить качество можно в приложении самостоятельно",normal
"Специалист - Здравствуйте
Клиент - Да
Специалист - Из поликлиники звонят
Специалист - Анализы готовы
Специалист - Получить результаты можно через регистратуру",normal
"Оператор - Добрый день
Клиент - Слушаю
Оператор - Это служба доставки
Оператор - Для вручения нужен только адрес
Оператор - Данные карты и коды не требуются",normal
"Оператор - Добрый день
Клиент - Да
Оператор - Вы оставляли заявку на подключение тарифа
Оператор - Подключение подтверждено
Оператор - Информация отобразится в приложении",normal
"Оператор - Алло здравствуйте
Клиент - Да
Оператор - Это банк
Оператор - Мы звоним только чтобы подтвердить готовность карты в отделении
Оператор - Коды и переводы по телефону не запрашиваем",normal
